step,buffer,mse,ready,delta_mae,delta_mae_x,delta_mae_v,delta_mae_th,delta_mae_om,reward_mae,plan_pred_err,plan_count
0,1000,0.000000,True,0.000114,0.000009,0.000094,0.000084,0.000271,0.000977,0.000476,0
0,2000,0.000000,True,0.000096,0.000005,0.000054,0.000044,0.000282,0.010675,0.000430,0
99,3000,0.000000,True,0.000115,0.000003,0.000107,0.000031,0.000319,0.019344,0.000539,99
399,4000,0.000000,True,0.000147,0.000002,0.000262,0.000019,0.000305,0.009457,0.000715,399
899,4000,0.000000,True,0.000093,0.000002,0.000085,0.000019,0.000266,0.006535,0.000443,899
1499,4000,0.000000,True,0.000199,0.000002,0.000281,0.000028,0.000486,0.003394,0.000964,1499
2099,4000,0.000000,True,0.000100,0.000002,0.000032,0.000019,0.000347,0.004755,0.000478,2099
2699,4000,0.000000,True,0.000132,0.000002,0.000200,0.000015,0.000312,0.016474,0.000645,2699
3299,4000,0.000000,True,0.000086,0.000002,0.000046,0.000019,0.000278,0.009101,0.000410,3299
3899,4000,0.000000,True,0.000161,0.000002,0.000192,0.000034,0.000414,0.005204,0.000764,3899
4499,4000,0.000000,True,0.000084,0.000002,0.000028,0.000020,0.000286,0.005989,0.000397,4499
5099,4000,0.000000,True,0.000080,0.000002,0.000064,0.000019,0.000236,0.010112,0.000379,5099
5699,4000,0.000000,True,0.000097,0.000002,0.000123,0.000024,0.000238,0.013579,0.000457,5699
6299,4000,0.000000,True,0.000125,0.000002,0.000191,0.000027,0.000281,0.009134,0.000594,6299
6899,4000,0.000000,True,0.000167,0.000001,0.000279,0.000030,0.000357,0.008592,0.000800,6899
7499,4000,0.000000,True,0.000114,0.000003,0.000127,0.000056,0.000272,0.001818,0.000507,7499
8099,4000,0.000000,True,0.000224,0.000002,0.000292,0.000066,0.000534,0.004244,0.001042,8099
8699,4000,0.000000,True,0.000238,0.000004,0.000241,0.000042,0.000665,0.008002,0.001141,8699
9299,4000,0.000000,True,0.000198,0.000008,0.000330,0.000049,0.000406,0.011125,0.000936,9299
9899,4000,0.000000,True,0.000167,0.000002,0.000222,0.000035,0.000408,0.008675,0.000794,9899
10499,4000,0.000000,True,0.000172,0.000002,0.000242,0.000019,0.000424,0.005850,0.000837,10499
11099,4000,0.000000,True,0.000179,0.000001,0.000181,0.000037,0.000496,0.005394,0.000851,11099
11699,4000,0.000000,True,0.000280,0.000006,0.000358,0.000060,0.000697,0.015733,0.001333,11699
12299,4000,0.000000,True,0.000364,0.000002,0.000609,0.000055,0.000790,0.008748,0.001757,12299
12899,4000,0.000000,True,0.000177,0.000002,0.000208,0.000032,0.000464,0.013315,0.000846,12899
13499,4000,0.000000,True,0.000159,0.000001,0.000358,0.000027,0.000248,0.007871,0.000762,13499
14099,4000,0.000000,True,0.000117,0.000002,0.000119,0.000017,0.000332,0.004221,0.000566,14099
14699,4000,0.000000,True,0.000083,0.000002,0.000109,0.000014,0.000206,0.004132,0.000397,14699
15299,4000,0.000000,True,0.000342,0.000003,0.000445,0.000051,0.000868,0.003010,0.001650,15299
15899,4000,0.000000,True,0.000228,0.000005,0.000247,0.000072,0.000589,0.004939,0.001059,15899
16499,4000,0.000000,True,0.000107,0.000001,0.000068,0.000023,0.000336,0.003706,0.000508,16499
17099,4000,0.000000,True,0.000117,0.000004,0.000176,0.000027,0.000260,0.011011,0.000553,17099
17699,4000,0.000000,True,0.000190,0.000002,0.000274,0.000053,0.000431,0.014298,0.000890,17699
18299,4000,0.000000,True,0.000136,0.000009,0.000191,0.000046,0.000297,0.021282,0.000626,18299
18899,4000,0.000000,True,0.000147,0.000003,0.000154,0.000029,0.000400,0.028156,0.000700,18899
19499,4000,0.000000,True,0.000102,0.000002,0.000055,0.000015,0.000335,0.006583,0.000491,19499
20099,4000,0.000000,True,0.000111,0.000001,0.000159,0.000017,0.000267,0.004339,0.000536,20099
20699,4000,0.000000,True,0.000091,0.000001,0.000033,0.000010,0.000322,0.003092,0.000446,20699
21299,4000,0.000000,True,0.000161,0.000001,0.000266,0.000054,0.000324,0.014101,0.000744,21299
21899,4000,0.000000,True,0.000063,0.000002,0.000038,0.000016,0.000195,0.009935,0.000295,21899
22499,4000,0.000000,True,0.000108,0.000002,0.000110,0.000021,0.000299,0.009019,0.000516,22499
23099,4000,0.000000,True,0.000190,0.000002,0.000315,0.000033,0.000410,0.018147,0.000911,23099
23699,4000,0.000000,True,0.000195,0.000002,0.000281,0.000040,0.000456,0.008614,0.000928,23699
24299,4000,0.000000,True,0.000204,0.000002,0.000258,0.000052,0.000503,0.007204,0.000959,24299
24899,4000,0.000000,True,0.000136,0.000002,0.000161,0.000046,0.000334,0.005299,0.000626,24899
25499,4000,0.000000,True,0.000128,0.000003,0.000135,0.000048,0.000325,0.014013,0.000584,25499
26099,4000,0.000000,True,0.000098,0.000001,0.000143,0.000011,0.000237,0.006663,0.000477,26099
26699,4000,0.000000,True,0.000106,0.000003,0.000094,0.000016,0.000309,0.006392,0.000509,26699
27299,4000,0.000000,True,0.000128,0.000001,0.000172,0.000035,0.000305,0.016157,0.000601,27299
27899,4000,0.000000,True,0.000176,0.000003,0.000256,0.000051,0.000394,0.002660,0.000822,27899
28499,4000,0.000000,True,0.000109,0.000001,0.000190,0.000019,0.000226,0.006722,0.000523,28499
29099,4000,0.000000,True,0.000169,0.000004,0.000192,0.000081,0.000396,0.012730,0.000750,29099
29699,4000,0.000000,True,0.000095,0.000002,0.000088,0.000023,0.000265,0.007577,0.000446,29699
30299,4000,0.000000,True,0.000096,0.000007,0.000085,0.000040,0.000253,0.015769,0.000434,30299
30899,4000,0.000000,True,0.000159,0.000005,0.000201,0.000037,0.000392,0.002925,0.000751,30899
31499,4000,0.000000,True,0.000172,0.000015,0.000295,0.000030,0.000347,0.013244,0.000824,31499
32099,4000,0.000000,True,0.000152,0.000016,0.000181,0.000032,0.000379,0.011361,0.000722,32099
32699,4000,0.000000,True,0.000105,0.000004,0.000192,0.000012,0.000214,0.003549,0.000513,32699
33299,4000,0.000000,True,0.000074,0.000004,0.000055,0.000018,0.000217,0.006580,0.000346,33299
33899,4000,0.000000,True,0.000159,0.000001,0.000252,0.000032,0.000353,0.006697,0.000760,33899
34499,4000,0.000000,True,0.000118,0.000002,0.000209,0.000021,0.000238,0.006151,0.000564,34499
35099,4000,0.000000,True,0.000169,0.000002,0.000297,0.000032,0.000347,0.003075,0.000810,35099
35699,4000,0.000000,True,0.000230,0.000002,0.000388,0.000035,0.000495,0.004313,0.001108,35699
36299,4000,0.000000,True,0.000193,0.000001,0.000245,0.000059,0.000467,0.006513,0.000897,36299
36899,4000,0.000000,True,0.000082,0.000005,0.000033,0.000016,0.000276,0.011011,0.000394,36899
37499,4000,0.000000,True,0.000117,0.000011,0.000073,0.000069,0.000315,0.010626,0.000505,37499
38099,4000,0.000000,True,0.000095,0.000004,0.000032,0.000024,0.000319,0.005344,0.000446,38099
38699,4000,0.000000,True,0.000151,0.000003,0.000185,0.000041,0.000377,0.006304,0.000710,38699
39299,4000,0.000000,True,0.000146,0.000001,0.000200,0.000023,0.000360,0.022449,0.000704,39299
39899,4000,0.000000,True,0.000135,0.000007,0.000286,0.000028,0.000217,0.012933,0.000641,39899
40499,4000,0.000000,True,0.000117,0.000002,0.000144,0.000028,0.000293,0.004723,0.000552,40499
41099,4000,0.000000,True,0.000107,0.000002,0.000130,0.000020,0.000275,0.002548,0.000510,41099
41699,4000,0.000000,True,0.000441,0.000003,0.000631,0.000128,0.001004,0.017370,0.002059,41699
42299,4000,0.000000,True,0.000109,0.000005,0.000150,0.000021,0.000262,0.006506,0.000523,42299
42899,4000,0.000000,True,0.000112,0.000007,0.000082,0.000037,0.000323,0.004620,0.000519,42899
43499,4000,0.000000,True,0.000115,0.000005,0.000034,0.000012,0.000409,0.007311,0.000562,43499
44099,4000,0.000000,True,0.000188,0.000005,0.000203,0.000073,0.000472,0.029397,0.000857,44099
44699,4000,0.000000,True,0.000105,0.000008,0.000129,0.000026,0.000259,0.014977,0.000497,44699
45299,4000,0.000000,True,0.000103,0.000002,0.000148,0.000015,0.000247,0.002227,0.000497,45299
45899,4000,0.000000,True,0.000125,0.000002,0.000183,0.000024,0.000289,0.001156,0.000596,45899
46499,4000,0.000000,True,0.000127,0.000001,0.000161,0.000025,0.000319,0.003115,0.000604,46499
47099,4000,0.000000,True,0.000098,0.000001,0.000143,0.000027,0.000221,0.006152,0.000459,47099
47699,4000,0.000000,True,0.000118,0.000002,0.000128,0.000019,0.000325,0.004015,0.000570,47699
48299,4000,0.000000,True,0.000074,0.000005,0.000048,0.000012,0.000230,0.004610,0.000354,48299
48899,4000,0.000000,True,0.000127,0.000004,0.000151,0.000019,0.000334,0.005354,0.000612,48899
49499,4000,0.000000,True,0.000171,0.000001,0.000138,0.000035,0.000510,0.008215,0.000815,49499
50099,4000,0.000000,True,0.000230,0.000001,0.000395,0.000055,0.000468,0.007504,0.001086,50099
50699,4000,0.000000,True,0.000071,0.000002,0.000088,0.000024,0.000170,0.014460,0.000328,50699
51299,4000,0.000000,True,0.000116,0.000001,0.000214,0.000017,0.000234,0.003070,0.000562,51299
51899,4000,0.000000,True,0.000089,0.000002,0.000116,0.000014,0.000224,0.003992,0.000429,51899
52499,4000,0.000000,True,0.000089,0.000001,0.000183,0.000020,0.000153,0.006828,0.000424,52499
53099,4000,0.000000,True,0.000101,0.000001,0.000226,0.000031,0.000147,0.012644,0.000471,53099
53699,4000,0.000000,True,0.000177,0.000008,0.000272,0.000068,0.000360,0.008119,0.000807,53699
54299,4000,0.000000,True,0.000101,0.000001,0.000152,0.000015,0.000234,0.015229,0.000486,54299
54899,4000,0.000000,True,0.000149,0.000016,0.000206,0.000019,0.000355,0.014376,0.000722,54899
55499,4000,0.000000,True,0.000106,0.000001,0.000236,0.000015,0.000174,0.006616,0.000515,55499
56099,4000,0.000000,True,0.000187,0.000002,0.000190,0.000022,0.000535,0.005189,0.000910,56099
56699,4000,0.000000,True,0.000188,0.000004,0.000287,0.000019,0.000441,0.014556,0.000917,56699
57299,4000,0.000000,True,0.000094,0.000003,0.000101,0.000012,0.000259,0.005909,0.000455,57299
57899,4000,0.000000,True,0.000136,0.000005,0.000161,0.000029,0.000349,0.009267,0.000646,57899
58499,4000,0.000000,True,0.000111,0.000005,0.000137,0.000017,0.000286,0.012903,0.000538,58499
59099,4000,0.000000,True,0.000113,0.000006,0.000154,0.000012,0.000279,0.005308,0.000550,59099
59699,4000,0.000000,True,0.000124,0.000011,0.000229,0.000021,0.000235,0.006283,0.000596,59699
60299,4000,0.000000,True,0.000107,0.000005,0.000078,0.000024,0.000323,0.003707,0.000509,60299
60899,4000,0.000000,True,0.000104,0.000017,0.000139,0.000013,0.000248,0.012731,0.000505,60899
61499,4000,0.000000,True,0.000190,0.000014,0.000272,0.000032,0.000442,0.006845,0.000913,61499
62099,4000,0.000000,True,0.000083,0.000020,0.000095,0.000017,0.000201,0.011272,0.000395,62099
62699,4000,0.000000,True,0.000157,0.000014,0.000228,0.000025,0.000361,0.010522,0.000755,62699
63299,4000,0.000000,True,0.000118,0.000008,0.000133,0.000037,0.000294,0.006947,0.000548,63299
63899,4000,0.000000,True,0.000077,0.000003,0.000053,0.000012,0.000240,0.004502,0.000371,63899
64499,4000,0.000000,True,0.000155,0.000001,0.000209,0.000034,0.000374,0.004170,0.000734,64499
65099,4000,0.000000,True,0.000139,0.000001,0.000178,0.000020,0.000358,0.010804,0.000673,65099
65699,4000,0.000000,True,0.000116,0.000004,0.000198,0.000012,0.000249,0.012506,0.000565,65699
66299,4000,0.000000,True,0.000242,0.000002,0.000319,0.000045,0.000601,0.005060,0.001158,66299
66899,4000,0.000000,True,0.000113,0.000008,0.000168,0.000019,0.000257,0.010296,0.000542,66899
67499,4000,0.000000,True,0.000095,0.000010,0.000100,0.000012,0.000258,0.017950,0.000460,67499
68099,4000,0.000000,True,0.000090,0.000001,0.000124,0.000013,0.000223,0.003248,0.000436,68099
68699,4000,0.000000,True,0.000153,0.000002,0.000231,0.000026,0.000350,0.004755,0.000733,68699
69299,4000,0.000000,True,0.000152,0.000001,0.000278,0.000038,0.000290,0.001637,0.000716,69299
69899,4000,0.000000,True,0.000058,0.000001,0.000045,0.000010,0.000174,0.007513,0.000277,69899
70499,4000,0.000000,True,0.000072,0.000002,0.000058,0.000019,0.000211,0.003993,0.000340,70499
71099,4000,0.000000,True,0.000146,0.000007,0.000203,0.000041,0.000333,0.002402,0.000683,71099
71699,4000,0.000000,True,0.000110,0.000001,0.000127,0.000018,0.000294,0.000309,0.000530,71699
72299,4000,0.000000,True,0.000128,0.000005,0.000110,0.000030,0.000367,0.003439,0.000606,72299
72899,4000,0.000000,True,0.000155,0.000005,0.000253,0.000035,0.000327,0.005109,0.000736,72899
73499,4000,0.000000,True,0.000137,0.000001,0.000149,0.000031,0.000367,0.004498,0.000650,73499
74099,4000,0.000000,True,0.000103,0.000002,0.000092,0.000028,0.000288,0.011706,0.000480,74099
74699,4000,0.000000,True,0.000120,0.000001,0.000139,0.000017,0.000321,0.009441,0.000578,74699
75299,4000,0.000000,True,0.000408,0.000003,0.000588,0.000077,0.000964,0.016153,0.001951,75299
75899,4000,0.000000,True,0.000136,0.000006,0.000207,0.000012,0.000318,0.005691,0.000666,75899
76499,4000,0.000000,True,0.000133,0.000002,0.000094,0.000025,0.000410,0.003499,0.000635,76499
77099,4000,0.000000,True,0.000096,0.000003,0.000130,0.000030,0.000222,0.008100,0.000446,77099
77699,4000,0.000000,True,0.000229,0.000008,0.000387,0.000026,0.000493,0.012138,0.001112,77699
78299,4000,0.000000,True,0.000081,0.000010,0.000100,0.000034,0.000180,0.005928,0.000365,78299
78899,4000,0.000000,True,0.000099,0.000005,0.000167,0.000024,0.000201,0.001698,0.000468,78899
79499,4000,0.000000,True,0.000124,0.000003,0.000164,0.000032,0.000298,0.011084,0.000585,79499
80099,4000,0.000000,True,0.000116,0.000008,0.000044,0.000021,0.000393,0.007391,0.000558,80099
80699,4000,0.000000,True,0.000222,0.000005,0.000398,0.000041,0.000443,0.004499,0.001061,80699
81299,4000,0.000000,True,0.000077,0.000008,0.000084,0.000023,0.000194,0.005037,0.000359,81299
81899,4000,0.000000,True,0.000063,0.000007,0.000049,0.000009,0.000188,0.007637,0.000305,81899
82499,4000,0.000000,True,0.000103,0.000005,0.000151,0.000015,0.000241,0.013185,0.000496,82499
83099,4000,0.000000,True,0.000126,0.000001,0.000231,0.000016,0.000255,0.004318,0.000610,83099
83699,4000,0.000000,True,0.000085,0.000008,0.000102,0.000024,0.000206,0.007952,0.000396,83699
84299,4000,0.000000,True,0.000212,0.000002,0.000306,0.000047,0.000492,0.008989,0.001005,84299
84899,4000,0.000000,True,0.000073,0.000016,0.000033,0.000021,0.000223,0.012726,0.000341,84899
85499,4000,0.000000,True,0.000109,0.000014,0.000144,0.000024,0.000252,0.006246,0.000515,85499
86099,4000,0.000000,True,0.000096,0.000002,0.000162,0.000016,0.000204,0.008509,0.000461,86099
86699,4000,0.000000,True,0.000066,0.000004,0.000093,0.000017,0.000150,0.014301,0.000311,86699
87299,4000,0.000000,True,0.000146,0.000006,0.000185,0.000024,0.000370,0.019379,0.000704,87299
87899,4000,0.000000,True,0.000109,0.000003,0.000167,0.000010,0.000258,0.005579,0.000535,87899
88499,4000,0.000000,True,0.000140,0.000010,0.000210,0.000045,0.000295,0.007289,0.000649,88499
89099,4000,0.000000,True,0.000159,0.000001,0.000151,0.000047,0.000437,0.007756,0.000741,89099
89699,4000,0.000000,True,0.000163,0.000001,0.000257,0.000049,0.000346,0.004909,0.000760,89699
90299,4000,0.000000,True,0.000060,0.000004,0.000018,0.000023,0.000194,0.009799,0.000272,90299
90899,4000,0.000000,True,0.000112,0.000006,0.000059,0.000028,0.000353,0.006154,0.000525,90899
91499,4000,0.000000,True,0.000112,0.000003,0.000099,0.000054,0.000292,0.003768,0.000498,91499
92099,4000,0.000000,True,0.000120,0.000014,0.000177,0.000023,0.000266,0.004480,0.000574,92099
92699,4000,0.000000,True,0.000217,0.000008,0.000276,0.000061,0.000522,0.010815,0.001013,92699
93299,4000,0.000000,True,0.000068,0.000021,0.000035,0.000022,0.000193,0.006820,0.000312,93299
93899,4000,0.000000,True,0.000095,0.000028,0.000119,0.000010,0.000224,0.014936,0.000463,93899
94499,4000,0.000000,True,0.000079,0.000005,0.000137,0.000010,0.000165,0.019125,0.000385,94499
95099,4000,0.000000,True,0.000083,0.000023,0.000065,0.000013,0.000230,0.011751,0.000398,95099
95699,4000,0.000000,True,0.000143,0.000008,0.000181,0.000046,0.000340,0.011608,0.000664,95699
96299,4000,0.000000,True,0.000110,0.000023,0.000134,0.000013,0.000269,0.016943,0.000533,96299
96899,4000,0.000000,True,0.000272,0.000008,0.000439,0.000051,0.000589,0.008901,0.001301,96899
97499,4000,0.000000,True,0.000245,0.000010,0.000380,0.000046,0.000543,0.006380,0.001171,97499
98099,4000,0.000000,True,0.000283,0.000008,0.000504,0.000048,0.000572,0.012946,0.001359,98099
98699,4000,0.000000,True,0.000372,0.000016,0.000537,0.000091,0.000843,0.015082,0.001753,98699
99299,4000,0.000000,True,0.000262,0.000005,0.000430,0.000069,0.000542,0.004279,0.001228,99299
99899,4000,0.000000,True,0.000120,0.000019,0.000121,0.000035,0.000305,0.013991,0.000558,99899
100499,4000,0.000000,True,0.000139,0.000016,0.000250,0.000029,0.000260,0.011563,0.000659,100499
101099,4000,0.000000,True,0.000106,0.000014,0.000167,0.000012,0.000233,0.009903,0.000518,101099
101699,4000,0.000000,True,0.000112,0.000022,0.000200,0.000017,0.000209,0.003980,0.000539,101699
102299,4000,0.000000,True,0.000290,0.000023,0.000409,0.000044,0.000683,0.010956,0.001397,102299
102899,4000,0.000000,True,0.000085,0.000018,0.000073,0.000010,0.000240,0.006584,0.000413,102899
103499,4000,0.000000,True,0.000255,0.000020,0.000356,0.000059,0.000586,0.001861,0.001208,103499
104099,4000,0.000000,True,0.000287,0.000017,0.000439,0.000062,0.000630,0.002215,0.001362,104099
104699,4000,0.000000,True,0.000195,0.000011,0.000346,0.000067,0.000355,0.013277,0.000896,104699
